step	train
0	0.978519124722262
1	0.9497862666025074
2	0.9465104950312809
3	0.9452260451943867
4	0.9442459219092623
5	0.9435126435136941
6	0.9427537867053204
7	0.9419311840964384
8	0.9413342076704043
9	0.9408883895349065
10	0.9403199861538155
11	0.9391634314796611
12	0.9379665466988123
13	0.9374064185203762
14	0.936829975256497
15	0.9363679421057395
16	0.93583466026032
17	0.935454184126781
18	0.9348259912718326
19	0.9347460300915102
20	0.9343044971107343
21	0.9341417142739719
22	0.9338706507595307
23	0.9338540810328375
24	0.9335529179018937
25	0.9336112659276443
26	0.9333004916844383
27	0.9333156024644135
28	0.9328667731095527
29	0.9329990051937395
30	0.9330402209853542
31	0.9328880189755641
32	0.9327724085670728
33	0.9324749095724263
34	0.9329585666321104
35	0.932526868964554
36	0.9323391114170763
37	0.932317480581616
38	0.932296748919589
39	0.9323325443340733
40	0.9321553989652465
41	0.9318113946768851
42	0.9322382331988134
43	0.9319417804753015
44	0.9318772556220355
45	0.9319511600955181
46	0.9317840104438478
47	0.9317966488158667
48	0.9318138592469218
49	0.9315694898640344
